अंकल	uncle
अंकुर	ankur
अंग्रेजी	angreji
अंजना	anjana
अंडरकवर	undercover
अंडा	anda
अंत	ant
अंतरिक्ष	antriksh
अकोला	akola
अक्षय	akshay
अक्षर	akshar
अक्षांश	akshansh
अखिलेश	akhilesh
अगरतला	agartala
अगले	agale
अजमेर	ajmer
अजय	ajay
अटलांटा	atlanta
अटैक	attack
अतिउत्साह	atiutsah
अतिरिक्त	atirikt
अत्याचार	atyachar
अथॉरिटी	authority
अधिग्रहण	adhigrahan
अधिग्रहित	adhigrahit
अधिनियम	adhiniyam
अध्यक्ष	adhyaksh
अध्यापक	adhyapak
अध्याय	adhyay
अनमोल	anmol
अनिल	anil
अनिवार्य	anivarya
अनिश्चिता	anishchita
अनुमानत	anumanat
अनुष्ठान	anushthan
अनूठा	anutha
अनेक	anek
अनोखा	anokha
अन्न	ann
अन्य	anya
अपडेट	update
अपना	apna
अपने	apne
अपमानजनक	apmanjanak
अपमानित	apmanit
अपराधबोध	apraadhbodh
अपॉइंटमेंट	appointment
अप्रकाशित	aprakashit
अप्रैल	april
अब्दुल	abdul
अभिनेत्री	abhinetri
अभिमान	abhiman
अभिषेक	abhishek
अमर	amar
अमिताभ	amitabh
अमृत	amrit
अमृतसर	amritsar
अमृता	amrita
अमेरिका	america
अर्चना	archana
अर्थव्यवस्था	arthvyavastha
अर्थशास्त्र	arthashastra
अवस्था	avastha
अश्लील	ashleel
आंख	aankh
आंधी	aandhi
आइडिया	idea
आईडी	id
आईपीएल	ipl
आकर्षण	aakarshan
आज	aaj
आजकल	aajkal
आजा	aaja
आत्मनिर्भर	aatmnirbhar
आदेश	aadesh
आनलाइन	online
आप	aap
आपकी	aapki
आपके	aapke
आपको	aapko
आपसे	aapse
आपाधापी	aapadhapi
आम	aam
आमिर	aamir
आयु	aayu
आयुर्वेद	ayurved
आयुर्वेदिक	ayurvedic
आयोग	aayog
आरक्षण	aarakshan
आर्मी	army
आलू	aalu
आश्चर्यों	ashcharyon
आश्रम	aashram
आसपास	aaspaas
आस्था	aastha
आॅफ	off
इंटर	inter
इंडियन	indian
इंडिया	india
इंडो	indo
इंदु	indu
इंदौर	indore
इंद्र	indra
इंसान	insaan
इज़राइल	israel
इतिहास	itihaas
इराक	iraq
इवेंट	event
इस	is
इसराइल	israel
इस्तीफा	istifa
इस्राइल	israel
इस्लाम	islam
इस्लामाबाद	islamabad
ईबे	ebay
उजाला	ujala
उठा	utha
उठी	uthi
उतर	utar
उत्तम	uttam
उत्तर	uttar
उत्तरपूर्वी	uttarpurvi
उत्तराखंड	uttarakhand
उत्पादन	utpadan
उत्सव	utsav
उदय	uday
उदयपुर	udaipur
उद्देश्य	uddeshya
उद्यापन	udyapan
उनका	unka
उन्हें	unhen
उन्होंने	unhone
उपचुनाव	upchunav
उपजातियों	upjatiyon
उपदेश	updesh
उपप्रधानमंत्री	uppradhanmantri
उपमहानिरीक्षक	upmahanirikshak
उपयुक्त	upyukt
उपयोग	upyog
उपसर्ग	upsarg
उपाध्यक्ष	upadhyaksh
उमा	uma
उल्लंघन	ullanghan
ऊंचा	uncha
ऋग्वेद	rigved
ऋषि	rishi
एंकर	anchor
एंगल	angle
एंटरटेनमेंट	entertainment
एंटी	anti
एंटीफंगल	antifungal
एंटीबायटिक	antibiotic
एंटीबायोटिक	antibiotic
एंटीबॉडी	antibody
एंटीवायरस	antivirus
एंट्री	entry
एंड	and
एंड्रॉयड	android
एक	ek
एकजुट	ekjut
एकता	ekta
एकादशी	ekadashi
एक्ट	act
एक्टर	actor
एक्शन	action
एक्स	axe
एक्सचेंज	exchange
एक्सटेंशन	extension
एक्सट्रीम	extreme
एक्सट्रैक्शन	extraction
एक्सरे	xray
एक्सीडेंट	accident
एक्सेस	access
एग्रीमेंट	agreement
एज	age
एजुकेशन	education
एजेंट	agent
एजेंडा	agenda
एजेंसी	agency
एट	at
एटलस	atlas
एटीएम	atm
एडवांस	advance
एडवाइस	advice
एडवेंचर	advencher
एनसीआर	ncr
एनिमेटेड	animated
एपिसोड	episode
एप्लीकेशन	application
एम	m
एयरकूल्ड	aircooled
एल	l
एल्बम	album
एल्यूमीनियम	aluminium
एविडेंस	evidence
एसएमएस	sms
एसटी	st
ऐतिहासिक	aitihasik
ऐप	app
ऐश	aish
ऐश्वर्या	aishwarya
ऐसा	aisa
ऐसी	aisi
ऑटो	auto
ऑनलाइन	online
ऑपरेटर	operator
ऑपरेटिंग	operating
ऑपरेशन	operation
