अंकल	uncle	4
अंडरकवर	undercover	6
अटलांटा	atlanta	6
अटैक	attack	6
अथॉरिटी	authority	10
अपडेट	update	4
अपॉइंटमेंट	appointment	4
अप्रैल	april	6
अमिताभ	amitabh	4
अमेरिका	america	6
आइडिया	idea	6
आईडी	id	6
आईपीएल	ipl	4
आनलाइन	online	6
आयुर्वेदिक	ayurvedic	5
आर्मी	army	6
आॅफ	off	4
इंटर	inter	7
इंडियन	indian	6
इंडिया	india	6
इंदौर	indore	9
इज़राइल	israel	5
इराक	iraq	4
इवेंट	event	4
इसराइल	israel	4
इस्तीफा	istifa	5
इस्राइल	israel	7
ईबे	ebay	5
उदयपुर	udaipur	4
एंकर	anchor	5
एंगल	angle	6
एंटरटेनमेंट	entertainment	4
एंटी	anti	10
एंटीफंगल	antifungal	6
एंटीबायटिक	antibiotic	5
एंटीबायोटिक	antibiotic	6
एंटीबॉडी	antibody	7
एंटीवायरस	antivirus	5
एंट्री	entry	6
एंड	and	10
एंड्रॉयड	android	7
एक्ट	act	8
एक्टर	actor	4
एक्शन	action	10
एक्स	axe	10
एक्स	x	10
एक्सचेंज	exchange	4
एक्सटेंशन	extension	4
एक्सट्रीम	extreme	4
एक्सट्रैक्शन	extraction	4
एक्सरे	xray	5
एक्सीडेंट	accident	8
एक्सेस	access	5
एग्रीमेंट	agreement	9
एज	age	5
एजुकेशन	education	7
एजेंट	agent	4
एजेंडा	agenda	4
एजेंसी	agency	4
एट	at	4
एटलस	atlas	4
एटीएम	atm	4
एडवांस	advance	4
एडवाइस	advice	6
एडवेंचर	advencher	4
एनसीआर	ncr	5
एनिमेटेड	animated	9
एपिसोड	episode	5
एप्लीकेशन	application	6
एम	m	8
एयरकूल्ड	aircooled	4
एल	l	5
एल्बम	album	4
एल्यूमीनियम	aluminium	8
एविडेंस	evidence	4
एसएमएस	sms	4
एसटी	st	4
ऐप	app	4
ऑटो	auto	5
ऑनलाइन	online	8
ऑपरेटर	operator	4
ऑपरेटिंग	operating	5
ऑपरेशन	operation	6
ऑप्टिकल	optical	4
ऑफ	off	10
ऑफर	offer	8
ऑफलाइन	offline	6
ऑफिस	office	10
ऑफिसर	officer	8
ऑयल	oil	8
ऑर्केस्ट्रा	orkestra	4
ऑर्डर	order	5
ऑल	all	4
ऑलिव	olive	6
ओपन	open	8
ओपेरा	opera	4
ओवर	over	6
कंक्रीट	concrete	6
कंडक्टर	conductor	4
कंडीशनर	conditioner	10
कंडोम	condom	10
कंपनी	company	10
कंप्यूटर	computer	10
कंबोडिया	cambodia	5
कपूर	kapoor	4
कमर्शियल	commercial	5
कमांडर	commander	5
करीना	kareena	5
कर्तव्य	kartavya	5
कर्त्तव्य	kartavya	4
कलर	colour	4
कलेक्टर	collector	8
कलेक्शन	collection	5
कल्चर	culture	4
कल्ट	cult	4
कांग्रेस	congress	6
कार	car	10
कार्टून	cartoon	5
कार्टूनिस्ट	cartoonist	4
कार्ड	card	10
कार्डियोलॉजी	cardiology	10
कार्बन	carbon	10
कावासाकी	kawasaki	4
कास्टिंग	casting	6
किंग	king	7
किंग्स	kings	5
किक	kick	5
किचन	kitchen	9
किट	kit	5
किटकैट	kitkat	6
किडनी	kidney	7
किड्स	kids	6
किलर	killer	6
किलोग्राम	kilogram	8
किलोमीटर	kilometer	7
कीबोर्ड	keyboard	6
केंसर	cancer	5
केज	cage	4
केन	can	5
केमिकल	chemical	5
केयर	care	6
कैंटीन	canteen	4
कैंडी	candy	7
कैंप	camp	6
कैंपस	campus	4
कैंसर	cancer	9
कैच	catch	5
कैप	cap	4
कैपिटल	capital	5
कैप्सूल	capsule	7
कैमरों	cameron	4
कैलकुलेटर	calculator	4
कैश	cash	6
कॉक	cock	5
कॉटन	cotton	4
कॉन्टैक्ट	contact	10
कॉन्ट्रैक्ट	contract	6
कॉन्फ्रेंस	conference	7
कॉन्सर्ट	concert	4
कॉपर	copper	4
कॉपी	copy	4
कॉफी	coffee	5
कॉम	com	10
कॉमर्स	commerce	4
कॉमेडियन	comedian	4
कॉमेडी	comedy	10
कॉरपोरेट	corporate	6
कॉर्न	corn	4
कॉर्प	corp	6
कॉर्पोरेट	corporate	4
कॉर्पोरेशन	corporation	7
कॉल	call	5
कॉलम	column	5
कॉलर	caller	4
कॉलेज	college	10
कॉलोनी	colony	7
कॉस्ट	cost	5
कॉस्मोपॉलिटन	cosmopolitan	4
कोच	coach	7
कोबरा	cobra	4
कोयंबतूर	coimbatore	5
कोरियोग्राफर	choreographer	7
कोर्ट	court	8
कोर्स	course	8
कोलंबिया	columbia	4
कोला	cola	4
कोल्ड	cold	5
क्रॉस	cross	6
क्लिक	click	10
क्लिनिक	clinic	5
क्लिप	clip	4
क्लीन	clean	9
क्लीनर	cleaner	4
क्लीनिक	clinic	4
क्लीवलैंड	cleanland	6
क्वालिटी	quality	4
क्वालीफाई	qualify	10
क्वालीफायर	qualifier	10
क्वीन	queen	6
क्वेश्चन	question	5
गद्दाफी	gaddafi	5
गल्फ	gulf	4
गवर्निंग	governing	4
गार्ड	guard	6
गार्डेन	garden	6
गिफ्ट	gift	5
गियर	gear	4
गूगल	google	6
ग्राउंड	ground	4
ग्रेजुएशन	graduation	6
ग्रैंड	grand	6
ग्रोथ	growth	4
ग्लूकोमा	glaucoma	5
चर्च	church	6
चैंपियंस	champions	6
चैंपियन	champion	6
चैट	chat	6
चैन	chain	6
चैनल	channel	6
चैरिटेबल	charitable	6
चैलेंज	challenge	5
जीमेल	gmail	6
जून	june	6
जूली	julie	6
जेल	jail	6
टर्नओवर	turnover	5
टाइपराइटर	typewriter	6
टाइफाइड	typhoid	4
टास्क	task	6
टीवीसी	tvc	6
टेरेसा	teresa	4
टैंक	tank	6
टैक्स	tax	6
टैक्सी	taxi	6
टैग	tag	5
टैबलेट	tablet	6
टॉकीज	talkies	4
टॉप	top	7
टॉपलेस	topless	4
टॉर्च	torch	6
ट्राम	tram	5
ट्रायल	trial	4
ट्रैकिंग	tracking	6
ट्रैक्टर	tractor	5
ट्रैफिक	traffic	5
ट्रैवल	travel	5
ट्विस्ट	twist	4
ट्वीट	tweet	5
डबल	double	6
डबिंग	dubbing	6
डांस	dance	6
डाटाबेस	database	6
डिजाइन	design	6
डीजल	diesel	6
डीजे	dj	6
डीसी	dc	6
डैम	dam	6
डॉक्टर	doctor	6
डॉक्टरों	doctoron	4
डॉन	don	6
ड्रग	drug	5
ताइवान	taiwan	4
नर्स	nurse	6
नर्सरी	nursery	5
नामीबिया	namibia	4
नेचुरल	natural	4
नेटवर्किंग	networking	5
नॉकआउट	knockout	6
नोट	note	6
न्यूज	news	6
पार्क	park	6
पार्किंग	parking	6
पार्टी	party	4
पार्लर	parlour	5
पावर	power	6
पासपोर्ट	passport	4
पिकअप	pickup	6
पिक्स	pics	5
पुलिस	police	6
पेंट	paint	4
पेंशन	pension	6
पेट्रोल	petrol	5
पेन	pen	5
पेपर	paper	6
पेरिस	paris	6
पैक	pack	6
पैकिंग	packing	8
पैकेट	packet	5
पैड	pad	4
पैसा	paisa	6
पॉल	paul	5
पोटैशियम	potassium	5
पोर्ट	port	6
पोर्टल	portal	5
पोर्न	porn	6
प्रियंका	priyanka	7
प्रीलोडेड	preloaded	6
प्रेशर	pressure	4
प्रोग्राम	program	7
प्रोटीन	protein	5
प्रोफेशनल	professional	4
प्रोवाइडर	provider	4
प्लगइन	plugin	6
प्लांट	plant	7
प्लान	plan	5
प्लानेट	planet	5
प्लास्टिक	plastic	7
प्लूटो	pluto	7
प्लेटफार्म	platform	5
प्लेटफॉर्म	platform	5
प्लेस	place	4
प्लैटिनम	platinum	6
प्लैन	plan	4
फाइनल	final	6
फिल्म	film	7
फुट	foot	4
फुल	full	4
फेडरेशन	federation	4
फेमस	famous	4
फेयर	fair	4
फेस	face	7
फेसबुक	facebook	6
फैक्ट्री	factory	5
फैट	fat	4
फैन	fan	4
फैमिली	family	6
फैशन	fashion	6
फोटो	photo	10
फोटोग्राफर	photographer	4
फोटोग्राफी	photography	4
फोन	phone	6
फोर्ट	fort	6
फोर्स	force	4
फ्री	free	6
फ्रीस्टाइल	freestyle	6
फ्रैंक	frank	6
फ्लू	flue	4
बंद	band	6
बग्स	bugs	5
बर्ड	bird	6
बर्थडे	birthday	6
बस	bus	6
बाम	balm	4
बायपास	bypass	6
बार	bar	4
बिग	big	4
बिजनेस	business	4
बुलेटप्रूफ	bulletproof	6
बेंच	bench	5
बेड	bed	6
बेबी	baby	7
बैंक	bank	6
बैंकिंग	banking	6
बैंड	band	6
बैकअप	backup	6
बैकलेस	backless	6
बैक्टीरिया	bacteria	5
बैग	bag	4
बैचलर	bachelor	5
बैटरी	battery	6
बैटल	battle	5
बैडमिंटन	badminton	5
बैनर	banner	6
बैरल	barrel	4
बैरिस्टर	barrister	7
बैलेंस	balance	7
बॉक्स	box	6
बॉडी	body	6
बॉय	boy	8
बॉर्डर	border	7
बॉल	ball	6
बॉलीवुड	bollywood	6
बॉस	boss	6
बोन	bone	6
बोर्ड	board	5
ब्रांड	brand	6
ब्रेक	break	4
ब्रॉड	broad	4
ब्रोकर	broker	4
ब्लड	blood	6
ब्लास्ट	blast	5
ब्लू	blue	10
ब्लेंडर	blender	4
ब्लेड	blade	8
ब्लॉक	block	6
ब्लॉकबस्टर	blockbuster	6
भट्ट	bhatt	4
मदर	mother	5
मन	man	4
मनी	money	6
मलेशिया	malaysia	4
मल्टीटास्किंग	multitasking	7
मशीन	machine	4
माइक्रोब्लॉगिंग	microblogging	6
मार्क	mark	9
मार्कस	marks	4
मार्किट	market	6
मार्केट	market	9
मार्को	marco	4
मार्क्स	marks	4
मार्च	march	8
मार्चिंग	marching	4
मास्टर	master	4
मिडवे	midway	5
मिनिस्टर	minister	4
मिले	mile	6
मीडिया	media	4
मुशर्रफ	musharraf	4
मुस्लिम	muslim	5
मूवी	movie	8
मेंबर	member	8
मेक	make	9
मेकिंग	making	4
मेट्रो	metro	6
मेडिकल	medical	6
मेडी	medi	5
मेमोरी	memory	5
मेयर	mayor	4
मेरे	mere	6
मेल	mail	10
मेल	male	9
मैं	main	4
मैच	match	7
मैनेज	manage	5
मैनेजमेंट	management	4
मैनेजिंग	managing	4
मॉडल	model	5
मोटर	motor	5
मोटरसाइकिल	motorcycle	6
मोटर्स	motors	5
मोबाइल	mobile	5
मोर	more	4
यूएसए	usa	4
यूट्यूब	youtube	6
यूनिवर्सिटी	university	4
रनवे	runway	6
रिंगटोन	ringtone	6
रिपोर्ट	report	6
रिपोर्टर	reporter	6
रियल	real	4
रिसर्च	research	5
रेल	rail	5
रेलवे	railway	6
रेसिपी	recipe	6
रैली	rally	5
रोड	road	6
रोपवे	ropeway	4
रोमांस	romance	4
रोल	roll	4
रोशन	roshan	4
लव	love	6
लाइक	like	4
लाइट	light	4
लाइन	line	4
लाफ	laugh	5
लिस्ट	list	4
लेडी	lady	5
लैंड	land	6
लैंडिंग	landing	6
लॉन्ग	long	4
लोड	load	6
लोन	loan	6
वनडे	oneday	6
वर्क	work	4
वर्कशॉप	workshop	4
वर्क्स	works	4
वर्चुअल	virtual	4
वर्जिन	virgin	4
वर्ड	word	6
वर्ल्ड	world	7
वाईफाई	wifi	6
वायरल	viral	4
वार्ड	ward	5
वार्मअप	warmup	6
विकेटकीपर	wicketkeeper	6
विटामिन	vitamin	6
विल	will	6
वीडियो	video	6
वेब	web	4
वेबसाइट	website	7
वेल	well	4
वेलफेयर	welfare	5
वेलेंटाइन	valentine	10
वेव	wave	4
वेस्टर्न	western	5
वैगन	wagon	4
वैलेंटाइन	valentine	5
वैल्यू	value	8
वॉर	war	6
वॉल	wall	6
वोदका	vodka	5
वोल्ट	volt	6
व्लादीमीर	vladimir	4
व्हाट	what	5
व्हाट्सएप	whatsapp	4
व्हीकल	vehicle	5
व्हील	wheel	6
व्हेन	when	5
व्हेल	whale	4
शर्ट	shirt	6
शेक	shake	4
शॉप	shop	6
शॉपिंग	shopping	4
शो	show	6
सन	sun	4
सन्डे	sunday	6
सबवे	subway	6
सब्सिडी	subsidy	5
सर	sir	6
सर्च	search	6
सर्वे	survey	5
सलाद	salad	6
साइंटिस्ट्स	scientists	6
साइंस	science	5
साइकिल	cycle	9
साइक्लिंग	cycling	8
साइज	size	4
साइट	site	6
साइड	side	5
साइन	sign	8
साइबर	cyber	5
साउंड	sound	5
साउथ	south	9
सिनेमा	cinema	5
सिरीज	series	8
सिलिंडर	cylinder	8
सिलेब्रिटी	celebrity	4
सिल्क	silk	7
सिस्टम	system	10
सीआई	ci	4
सीआईडी	cid	6
सीआरपी	crp	4
सीईओ	ceo	5
सीडी	cd	4
सुपरमार्केट	supermarket	6
सुप्रीम	supreme	5
सेकंड	second	4
सेक्स	sex	7
सेक्सी	sexy	7
सेटअप	setup	6
सेटेलाइट	satellite	5
सेमीफाइनल	semifinal	7
सेरेमिक	ceramic	4
सेल्सियस	celsius	5
सैंडविच	sandwich	5
सैटेलाइट	satellite	5
सैमसंग	samsung	5
सॉफ्टवेयर	software	5
सोनी	sony	5
स्कूल	school	4
स्कूलों	schoolon	4
स्कोर	score	4
स्टिंग	sting	6
स्टेटस	status	6
स्टेडियम	stadium	4
स्टेशन	station	4
स्टैंड	stand	6
स्टैंडर्ड	standard	6
स्टैमिना	stamina	6
स्टोरी	story	7
स्टोरेज	storage	4
स्ट्रॉबेरी	strawberry	6
स्पर्म	sperm	4
स्पेनिश	spanish	5
स्पेशल	special	6
स्पेस	space	4
स्मार्ट	smart	6
स्मार्टफोन	smartphone	6
हंटर	hunter	4
हर्बल	herbal	5
हाईवे	highway	6
हाईस्कूल	highschool	5
हाईस्पीड	highspeed	5
हार्ट	heart	4
हीरो	hero	6
हेलो	hello	5
हैंड	hand	6
हैंडल	handle	5
हैप्पी	happy	6
हैशटैग	hashtag	6
हॉकी	hockey	5
हॉट	hot	6
हॉलीवुड	hollywood	6
हॉस्पिटल	hospital	6
होटल	hotel	6
होम	home	6
होम्योपैथी	homeopathy	6
होस्टिंग	hosting	6
